iter	Passed	Remaining
0	421	210308
1	704	175470
2	954	158096
3	1199	148729
4	1473	145839
5	1708	140664
6	1917	135052
7	2147	132093
8	2449	133642
9	2676	131146
10	2898	128834
11	3112	126587
12	3355	125710
13	3626	125905
14	3932	127159
15	4171	126173
16	4473	127096
17	4729	126642
18	5035	127466
19	5268	126446
20	5532	126201
21	5749	124917
22	5965	123729
23	6175	122485
24	6452	122599
25	6669	121587
26	6889	120693
27	7208	121514
28	7448	120973
29	7695	120559
30	7929	119967
31	8228	120345
32	8487	120113
33	8702	119275
34	8961	119062
35	9218	118822
36	9466	118453
37	9876	120083
38	10106	119461
39	10435	120006
40	10664	119391
41	10927	119162
42	11190	118935
43	11563	119842
44	11776	119074
45	12115	119570
46	12404	119553
47	12675	119364
48	12904	118775
49	13127	118147
50	13396	117942
51	13752	118481
52	14116	119061
53	14421	119114
54	14757	119399
55	15024	119126
56	15373	119478
57	15631	119125
58	15915	118962
59	16151	118444
60	16463	118481
61	16741	118272
62	17017	118043
63	17321	118004
64	17662	118203
65	17998	118352
66	18232	117832
67	18532	117736
68	18861	117814
69	19127	117498
70	19445	117494
71	19700	117108
72	20027	117147
73	20318	116968
74	20622	116858
75	20896	116578
76	21192	116418
77	21448	116042
78	21807	116215
79	22046	115746
80	22389	115815
81	22705	115741
82	23003	115570
83	23267	115227
84	23535	114910
85	23753	114349
86	24015	114005
87	24230	113441
88	24453	112925
89	24725	112640
90	24997	112350
91	25311	112249
92	25595	112016
93	25880	111782
94	26183	111623
95	26563	111787
96	26817	111417
97	27109	111202
98	27340	110744
99	27574	110298
100	27860	110062
101	28075	109547
102	28404	109479
103	28696	109267
104	28897	108709
105	29155	108370
106	29473	108253
107	29699	107799
108	29956	107457
109	30167	106955
110	30606	107261
111	30868	106935
112	31204	106869
113	31436	106442
114	31669	106024
115	31888	105562
116	32059	104945
117	32297	104556
118	32595	104360
119	32820	103930
120	33246	104137
121	33544	103932
122	33781	103542
123	34053	103257
124	34357	103072
125	34579	102641
126	34923	102570
127	35203	102310
128	35463	101991
129	35758	101774
130	36182	101917
131	36407	101500
132	36646	101121
133	36914	100825
134	37181	100526
135	37412	100132
136	37689	99864
137	38027	99752
138	38316	99511
139	38523	99059
140	38750	98662
141	39077	98519
142	39336	98203
143	39631	97977
144	39896	97678
145	40207	97489
146	40473	97190
147	40703	96808
148	40974	96523
149	41210	96158
150	41476	95863
151	41673	95409
152	41962	95169
153	42163	94730
154	42487	94568
155	42757	94284
156	42970	93877
157	43233	93582
158	43449	93184
159	43635	92725
160	43951	92542
161	44200	92221
162	44488	91979
163	44691	91562
164	44946	91254
165	45190	90926
166	45441	90611
167	45666	90246
168	45952	90001
169	46223	89727
170	46471	89409
171	46713	89080
172	47024	88884
173	47301	88622
